s,rho,x,phi,alpha,kn
0,50,-143.9644401,0,1.570796327,0.05758577614
8.536019412,50.64215371,-143.7398075,0.1690914993,1.411377946,0.05480003144
12.09175869,51.28329825,-143.5123107,0.2375739363,1.346614375,0.05219537597
14.85579887,51.92342088,-143.2819541,0.2894893633,1.297760047,0.04975799411
17.20849739,52.56250882,-143.0487423,0.3325993226,1.257258456,0.04747528116
19.30093542,53.20054935,-142.8126799,0.3700179854,1.222161403,0.04533572079
21.21042285,53.83752974,-142.5737718,0.4033553999,1.190946087,0.043328782
22.98261909,54.47343732,-142.3320225,0.4335724012,1.162701446,0.04144482145
24.64711051,55.10825939,-142.087437,0.4612981091,1.136829654,0.03967500169
26.22440791,55.74198333,-141.8400201,0.4869731288,1.112912521,0.03801121288
27.7294095,56.37459648,-141.5897767,0.5109207673,1.090643431,0.03644600751
29.17332056,57.00608627,-141.3367119,0.5333866823,1.069789313,0.03497253735
30.56482382,57.63644007,-141.0808307,0.5545631467,1.050167861,0.03358450105
31.91075854,58.26564537,-140.8221381,0.5746032289,1.031633129,0.03227609309
33.2166642,58.89368959,-140.5606393,0.5936321105,1.014066017,0.03104196148
34.48709586,59.52056024,-140.2963396,0.6117537206,0.9973677422,0.02987716627
35.72583875,60.14624481,-140.0292442,0.6290552856,0.9814552434,0.02877714524
36.93608876,60.77073086,-139.7593584,0.6456111332,0.966257838,0.02773767996
38.12055667,61.39400591,-139.4866877,0.6614849409,0.9517147567,0.02675486785
39.28157734,62.01605758,-139.2112373,0.6767320435,0.9377732713,0.02582509437
40.42117025,62.63687342,-138.933013,0.6914007529,0.9243872657,0.02494501007
41.54110226,63.25644112,-138.65202,0.7055336967,0.9115161123,0.02411150774
42.64292086,63.87474829,-138.3682642,0.7191685601,0.8991237925,0.02332170351
43.72800629,64.49178264,-138.081751,0.7323391863,0.8871781845,0.02257291796
44.79756193,65.10753183,-137.7924864,0.74507544,0.8756504948,0.02186266048
45.85268719,65.72198365,-137.5004759,0.7574047077,0.8645147872,0.02118861361
46.89434343,66.3351258,-137.2057254,0.7693512575,0.8537475998,0.02054862011
47.92342355,66.9469461,-136.9082408,0.7809376618,0.8433276223,0.01994066982
48.94071572,67.55743233,-136.6080281,0.7921841055,0.8332354293,0.01936288897
49.94693802,68.16657235,-136.3050931,0.8031091004,0.823453252,0.01881352918
50.94275485,68.774354,-135.999442,0.8137298409,0.8139647877,0.01829095847
51.92875649,69.3807652,-135.6910808,0.8240618108,0.8047550336,0.01779365214
52.90549946,69.98579382,-135.3800157,0.8341196136,0.7958101477,0.01732018513
53.87348837,70.58942785,-135.0662529,0.8439166216,0.7871173251,0.0168692244
54.83318522,71.19165523,-134.7497986,0.8534651796,0.7786646939,0.01643952246
55.7850151,71.79246397,-134.4306591,0.8627767292,0.7704412218,0.01602991098
56.72938252,72.3918421,-134.1088409,0.8718621499,0.7624366364,0.0156392953
57.66664519,72.98977767,-133.7843502,0.8807312437,0.7546413535,0.01526664905
58.59715497,73.58625877,-133.4571936,0.8893935644,0.7470464154,0.01491100944
59.52122105,74.18127351,-133.1273776,0.8978576899,0.739643435,0.01457147275
60.43914517,74.77481004,-132.7949087,0.9061319352,0.7324245469,0.01424719029
61.3511997,75.36685652,-132.4597937,0.9142239205,0.7253823632,0.01393736459
62.25764732,75.95740117,-132.1220391,0.9221409723,0.7185099348,0.01364124594
63.15872755,76.54643221,-131.7816517,0.9298898597,0.7118007162,0.01335812914
64.05466771,77.1339379,-131.4386382,0.9374770203,0.7052485336,0.01308735051
64.94568104,77.71990653,-131.0930056,0.9449085265,0.6988475569,0.0128282852
65.83196755,78.30432645,-130.7447607,0.9521901083,0.6925922737,0.01258034453
66.71371847,78.88718598,-130.3939105,0.9593272467,0.6864774663,0.01234297371
67.59111092,79.46847353,-130.0404618,0.9663250708,0.6804981901,0.01211564958
68.46431314,80.04817749,-129.6844219,0.973188467,0.6746497552,0.01189787864
69.33348293,80.62628634,-129.3257977,0.9799220505,0.6689277081,0.01168919507
70.19877037,81.20278854,-128.9645964,0.9865302243,0.6633278163,0.01148915909
71.06032278,81.77767262,-128.6008253,0.9930172794,0.6578460531,0.01129735518
71.91826933,82.35092709,-128.2344915,0.9993870933,0.6524785852,0.01111339072
72.7727409,82.92254056,-127.8656024,1.005643525,0.6472217589,0.01093689443
73.62385803,83.49250162,-127.4941653,1.011790183,0.6420720904,0.01076751517
74.47173665,84.06079893,-127.1201875,1.017830536,0.6370262541,0.01060492064
75.31648738,84.62742114,-126.7436767,1.023767904,0.6320810741,0.01044879629
76.15821411,85.192357,-126.3646403,1.029605433,0.627233514,0.01029884418
76.99701707,85.7555952,-125.9830857,1.035346157,0.6224806702,0.01015478208
77.83299144,86.31712457,-125.5990207,1.04099297,0.6178197629,0.01001634246
78.66622733,86.87693386,-125.2124529,1.046548632,0.6132481302,0.009883271699
79.49681244,87.43501198,-124.82339,1.05201582,0.6087632206,0.009755329177
80.32482918,87.99134775,-124.4318397,1.057397076,0.6043625878,0.009632286628
81.15035645,88.54593014,-124.0378098,1.062694835,0.600043884,0.009513927331
81.97347063,89.09874804,-123.6413082,1.06791146,0.5958048558,0.009400045537
82.79424389,89.64979049,-123.2423428,1.073049196,0.5916433381,0.009290445758
83.61274577,90.19904646,-122.8409216,1.078110213,0.5875572505,0.009184942275
84.42904348,90.74650505,-122.4370525,1.083096606,0.5835445921,0.009083358506
85.24320032,91.2921553,-122.0307436,1.088010369,0.5796034386,0.008985526579
86.05527783,91.8359864,-121.6220029,1.092853435,0.5757319368,0.008891286771
86.86533513,92.37798745,-121.2108388,1.097627672,0.5719283032,0.008800487135
87.67342853,92.9181477,-120.7972592,1.102334862,0.5681908186,0.008712983006
88.47961273,93.45645634,-120.3812725,1.106976742,0.5645178268,0.00862863667
89.28394008,93.9929027,-119.9628869,1.111554977,0.5609077301,0.00854731693
90.08646042,94.52747602,-119.5421109,1.116071166,0.5573589879,0.008468898814
90.88722277,95.06016572,-119.1189527,1.12052687,0.5538701127,0.008393263189
91.68627362,95.59096112,-118.6934208,1.124923587,0.5504396693,0.008320296505
92.48365779,96.1198517,-118.2655237,1.129262759,0.5470662707,0.00824989045
93.27941895,96.64682687,-117.83527,1.133545793,0.5437485775,0.008181941726
94.07359864,97.17187618,-117.4026681,1.137774036,0.5404852947,0.008116351744
94.86623703,97.69498911,-116.9677268,1.141948794,0.5372751706,0.008053026424
95.65737356,98.21615529,-116.5304546,1.146071341,0.5341169939,0.007991875919
96.44704535,98.73536429,-116.0908603,1.150142896,0.5310095936,0.007932814445
97.23528888,99.25260581,-115.6489526,1.154164645,0.5279518354,0.007875760033
98.02213927,99.76786949,-115.2047404,1.15813774,0.5249426217,0.007820634375
98.80763014,100.2811451,-114.7582325,1.162063287,0.5219808892,0.007767362607
99.59179455,100.7924224,-114.3094379,1.165942372,0.519065608,0.007715873168
100.3746643,101.3016912,-113.8583653,1.169776038,0.51619578,0.007666097608
101.1562696,101.8089414,-113.4050239,1.173565294,0.5133704377,0.007617970462
101.9366406,102.3141628,-112.9494227,1.17731113,0.5105886428,0.00757142908
102.7158058,102.8173454,-112.4915708,1.181014496,0.5078494858,0.007526413514
103.4937931,103.3184791,-112.0314771,1.184676317,0.5051520836,0.007482866363
104.2706296,103.817554,-111.5691511,1.188297498,0.5024955798,0.007440732672
105.0463414,104.3145602,-111.1046018,1.191878907,0.4998791429,0.007399959799
105.8209537,104.8094876,-110.6378385,1.195421391,0.4973019655,0.007360497318
106.5944913,105.3023265,-110.1688705,1.198925778,0.4947632637,0.007322296905
107.3669779,105.793067,-109.6977072,1.202392866,0.4922622758,0.007285312243
108.1384367,106.2816994,-109.2243579,1.205823435,0.4897982618,0.007249498928
108.9088903,106.7682139,-108.7488321,1.209218245,0.4873705025,0.007214814383
109.6783603,107.2526009,-108.2711393,1.212578025,0.4849782989,0.007181217764
110.446868,107.7348506,-107.791289,1.215903497,0.4826209711,0.007148669895
111.214434,108.2149534,-107.3092906,1.219195358,0.4802978581,0.007117133177
111.9810781,108.6928999,-106.8251539,1.222454283,0.4780083169,0.007086571527
112.7468201,109.1686804,-106.3388885,1.225680937,0.4757517217,0.007056950304
113.5116786,109.6422855,-105.8505041,1.228875962,0.4735274638,0.007028236246
114.275672,110.1137058,-105.3600104,1.23203998,0.4713349506,0.007000397408
115.0388183,110.5829318,-104.8674172,1.235173609,0.469173605,0.006973403101
115.8011348,111.0499542,-104.3727343,1.23827744,0.4670428655,0.006947223844
116.5626385,111.5147638,-103.8759715,1.241352051,0.4649421847,0.006921831299
117.3233458,111.9773511,-103.3771388,1.244398012,0.46287103,0.006897198232
118.0832727,112.4377071,-102.8762461,1.247415869,0.4608288818,0.006873298456
118.8424349,112.8958226,-102.3733034,1.250406162,0.4588152345,0.006850106795
119.6008477,113.3516883,-101.8683206,1.253369417,0.4568295947,0.006827599028
120.3585257,113.8052953,-101.361308,1.256306141,0.454871482,0.006805751863
121.1154834,114.2566345,-100.8522755,1.259216837,0.4529404275,0.006784542881
121.871735,114.7056969,-100.3412333,1.262101992,0.4510359744,0.006763950515
122.627294,115.1524735,-99.82819159,1.264962077,0.4491576768,0.006743953998
123.3821741,115.5969555,-99.31316063,1.267797563,0.4473051003,0.006724533345
124.1363882,116.039134,-98.79615062,1.2706089,0.4454778205,0.006705669305
124.8899488,116.4790002,-98.27717192,1.273396529,0.4436754238,0.006687343345
125.6428687,116.9165453,-97.75623482,1.276160887,0.4418975061,0.006669537608
126.3951597,117.3517605,-97.23334975,1.278902394,0.4401436735,0.006652234892
127.1468338,117.7846373,-96.70852708,1.281621464,0.4384135409,0.00663541862
127.8979026,118.215167,-96.18177732,1.284318502,0.436706733,0.006619072818
128.6483773,118.643341,-95.65311091,1.286993901,0.4350228827,0.006603182084
129.3982688,119.0691508,-95.12253844,1.289648046,0.433361632,0.006587731574
130.1475881,119.492588,-94.59007044,1.292281319,0.4317226308,0.006572706968
130.8963454,119.9136439,-94.05571756,1.294894085,0.4301055376,0.00655809446
131.6445513,120.3323104,-93.51949039,1.297486708,0.4285100182,0.00654388073
132.3922156,120.7485789,-92.98139969,1.300059541,0.4269357465,0.006530052928
133.1393482,121.1624413,-92.44145611,1.302612926,0.4253824036,0.006516598654
133.8859587,121.5738893,-91.89967048,1.305147208,0.4238496782,0.006503505942
134.6320566,121.9829147,-91.35605352,1.307662715,0.4223372652,0.006490763239
135.3776507,122.3895093,-90.81061614,1.310159771,0.4208448674,0.006478359395
136.1227504,122.7936651,-90.26336914,1.312638696,0.4193721932,0.00646628364
136.8673642,123.1953739,-89.71432348,1.315099799,0.4179189585,0.006454525576
137.6115008,123.5946279,-89.16349006,1.317543384,0.4164848846,0.006443075158
138.3551686,123.9914189,-88.61087989,1.319969754,0.4150696995,0.006431922684
139.0983758,124.3857392,-88.05650394,1.322379197,0.4136731367,0.006421058776
139.8411305,124.7775808,-87.50037331,1.324772001,0.4122949361,0.006410474375
140.5834406,125.166936,-86.94249903,1.327148449,0.4109348426,0.006400160724
141.3253136,125.5537969,-86.38289227,1.329508813,0.4095926072,0.006390109359
142.0667574,125.938156,-85.82156413,1.331853367,0.4082679857,0.006380312094
142.8077793,126.3200054,-85.25852583,1.334182373,0.4069607396,0.006370761018
143.5483864,126.6993377,-84.69378857,1.33649609,0.4056706352,0.006361448475
144.288586,127.0761452,-84.12736362,1.338794776,0.4043974439,0.006352367065
145.028385,127.4504205,-83.55926225,1.341078678,0.4031409418,0.006343509623
145.7677902,127.8221561,-82.9894958,1.343348041,0.40190091,0.006334869222
146.5068084,128.1913445,-82.4180756,1.345603108,0.4006771337,0.006326439156
147.2454461,128.5579785,-81.84501307,1.347844113,0.3994694032,0.006318212936
147.9837097,128.9220507,-81.27031959,1.350071286,0.3982775126,0.006310184277
148.7216057,129.2835538,-80.69400664,1.352284859,0.3971012607,0.006302347099
149.4591401,129.6424807,-80.11608569,1.354485051,0.3959404503,0.006294695512
150.196319,129.9988243,-79.53656827,1.356672083,0.3947948882,0.006287223813
150.9331485,130.3525773,-78.95546591,1.358846171,0.3936643851,0.006279926477
151.6696344,130.7037327,-78.37279021,1.361007524,0.392548756,0.006272798152
152.4057823,131.0522837,-77.78855276,1.363156351,0.3914478191,0.006265833654
153.1415981,131.3982231,-77.20276523,1.365292857,0.3903613968,0.006259027958
153.8770871,131.7415442,-76.61543926,1.36741724,0.3892893147,0.006252376194
154.612255,132.08224,-76.02658657,1.3695297,0.3882314022,0.006245873643
155.3471069,132.4203039,-75.4362189,1.371630428,0.3871874921,0.006239515729
156.081648,132.755729,-74.844348,1.373719614,0.3861574204,0.006233298014
156.8158837,133.0885086,-74.25098568,1.375797448,0.3851410266,0.006227216196
157.549819,133.4186362,-73.65614375,1.377864111,0.3841381531,0.006221266101
158.2834587,133.7461052,-73.05983408,1.379919784,0.383148646,0.006215443683
159.0168079,134.0709089,-72.46206853,1.381964647,0.3821723539,0.006209745012
159.7498712,134.3930411,-71.86285904,1.383998873,0.3812091287,0.006204166279
160.4826535,134.7124952,-71.26221751,1.386022634,0.3802588251,0.006198703785
161.2151594,135.0292648,-70.66015596,1.388036101,0.3793213009,0.006193353939
161.9473934,135.3433438,-70.05668634,1.390039438,0.3783964164,0.006188113257
162.6793601,135.6547257,-69.45182071,1.39203281,0.377484035,0.006182978356
163.4110638,135.9634044,-68.84557109,1.394016379,0.3765840223,0.006177945947
164.1425088,136.2693738,-68.2379496,1.395990303,0.3756962472,0.006173012842
164.8736996,136.5726277,-67.62896832,1.397954739,0.3748205805,0.006168175938
165.6046403,136.8731602,-67.0186394,1.39990984,0.3739568962,0.006163432225
166.3353349,137.1709651,-66.40697498,1.401855756,0.3731050701,0.006158778776
167.0657876,137.4660367,-65.79398728,1.40379264,0.3722649809,0.006154212745
167.7960024,137.7583689,-65.17968849,1.405720636,0.3714365094,0.006149731368
168.5259831,138.047956,-64.56409087,1.40763989,0.3706195391,0.006145331957
169.2557339,138.3347923,-63.94720666,1.409550545,0.3698139552,0.006141011899
169.9852584,138.6188719,-63.32904819,1.41145274,0.3690196458,0.006136768651
170.7145603,138.9001893,-62.70962774,1.413346614,0.3682365005,0.006132599741
171.4436435,139.1787388,-62.08895769,1.415232305,0.3674644117,0.006128502764
172.1725116,139.4545149,-61.46705037,1.417109945,0.3667032732,0.006124475379
172.9011681,139.727512,-60.84391822,1.418979668,0.3659529818,0.006120515309
173.6296167,139.9977248,-60.2195736,1.420841606,0.3652134352,0.006116620337
174.3578607,140.2651479,-59.594029,1.422695884,0.3644845341,0.006112788305
175.0859038,140.5297759,-58.96729685,1.424542634,0.3637661804,0.00610901711
175.8137493,140.7916035,-58.33938967,1.426381978,0.3630582786,0.006105304707
176.5414004,141.0506256,-57.71031994,1.428214041,0.3623607342,0.006101649101
177.2688606,141.3068369,-57.08010024,1.430038945,0.3616734555,0.006098048351
177.996133,141.5602324,-56.44874307,1.43185681,0.3609963517,0.006094500563
178.7232209,141.810807,-55.81626107,1.433667755,0.3603293346,0.006091003892
179.4501276,142.0585559,-55.1826668,1.435471898,0.359672317,0.006087556541
180.1768559,142.3034738,-54.54797291,1.437269354,0.3590252141,0.006084156756
180.9034092,142.5455561,-53.91219203,1.439060237,0.3583879421,0.006080802827
181.6297904,142.7847978,-53.27533685,1.44084466,0.3577604194,0.006077493085
182.3560024,143.0211943,-52.63742003,1.442622735,0.3571425656,0.006074225903
183.0820484,143.2547407,-51.99845433,1.444394572,0.3565343024,0.006070999693
183.8079313,143.4854326,-51.35845242,1.44616028,0.3559355524,0.006067812904
184.5336538,143.7132652,-50.71742712,1.447919964,0.3553462404,0.006064664024
185.2592189,143.938234,-50.07539114,1.449673733,0.3547662921,0.006061551573
185.9846294,144.1603345,-49.43235733,1.45142169,0.3541956353,0.006058474108
186.709888,144.3795624,-48.78833846,1.45316394,0.3536341987,0.00605543022
187.4349976,144.5959131,-48.1433474,1.454900585,0.3530819129,0.006052418528
188.1599608,144.8093826,-47.49739696,1.456631725,0.3525387094,0.006049437687
188.8847803,145.0199664,-46.85050006,1.45835746,0.3520045218,0.006046486378
189.6094589,145.2276603,-46.20266955,1.460077891,0.3514792842,0.006043563314
190.3339991,145.4324603,-45.55391837,1.461793115,0.350962933,0.006040667234
191.0584035,145.6343623,-44.90425943,1.463503228,0.350455405,0.006037796905
191.7826746,145.8333622,-44.25370568,1.465208327,0.349956639,0.00603495112
192.5068151,146.0294561,-43.60227008,1.466908504,0.3494665747,0.006032128697
193.2308273,146.22264,-42.94996562,1.468603856,0.3489851533,0.006029328479
193.954714,146.4129102,-42.29680529,1.470294475,0.348512317,0.006026549333
194.6784773,146.6002627,-41.64280211,1.47198045,0.3480480096,0.006023790148
195.4021199,146.784694,-40.98796911,1.473661876,0.3475921756,0.006021049834
196.1256441,146.9662003,-40.33231934,1.47533884,0.3471447612,0.006018327325
196.8490522,147.1447779,-39.67586587,1.477011431,0.3467057135,0.006015621574
197.5723467,147.3204234,-39.01862177,1.47867974,0.3462749807,0.006012931553
198.2955299,147.4931332,-38.36060015,1.480343853,0.3458525123,0.006010256255
199.0186041,147.662904,-37.70181411,1.482003854,0.345438259,0.006007594689
199.7415715,147.8297322,-37.04227679,1.483659832,0.3450321724,0.006004945884
200.4644345,147.9936147,-36.38200132,1.48531187,0.3446342053,0.006002308885
201.1871953,148.154548,-35.72100087,1.486960054,0.3442443116,0.005999682754
201.9098561,148.3125291,-35.05928859,1.488604467,0.3438624462,0.005997066568
202.6324191,148.4675547,-34.3968777,1.490245189,0.3434885653,0.005994459421
203.3548865,148.6196218,-33.73378137,1.491882305,0.3431226256,0.00599186042
204.0772605,148.7687274,-33.07001284,1.493515896,0.3427645856,0.005989268686
204.7995432,148.9148685,-32.4055853,1.495146042,0.3424144039,0.005986683357
205.5217368,149.058042,-31.74051203,1.496772823,0.3420720412,0.005984103578
206.2438434,149.1982454,-31.07480625,1.498396319,0.341737458,0.005981528512
206.9658649,149.3354756,-30.40848126,1.500016607,0.3414106169,0.005978957331
207.6878037,149.46973,-29.74155029,1.501633768,0.3410914804,0.005976389221
208.4096616,149.6010059,-29.07402669,1.503247877,0.3407800132,0.005973823376
209.1314409,149.7293008,-28.4059237,1.504859013,0.3404761795,0.005971259004
209.8531433,149.8546118,-27.73725469,1.506467251,0.3401799459,0.005968695319
210.5747711,149.9769369,-27.06803294,1.508072666,0.3398912786,0.005966131548
211.2963262,150.0962732,-26.39827182,1.509675336,0.3396101459,0.005963566927
212.0178106,150.2126187,-25.72798464,1.511275335,0.339336516,0.005961000699
212.7392262,150.3259707,-25.05718479,1.512872736,0.3390703589,0.005958432115
213.4605751,150.4363274,-24.38588562,1.514467615,0.3388116445,0.005955860438
214.1818592,150.5436861,-23.71410052,1.516060044,0.3385603448,0.005953284934
214.9030803,150.6480451,-23.04184285,1.517650095,0.3383164313,0.005950704878
215.6242405,150.7494019,-22.36912604,1.519237844,0.3380798779,0.005948119552
216.3453418,150.847755,-21.69596346,1.520823361,0.3378506575,0.005945528244
217.0663857,150.9431019,-21.02236857,1.522406716,0.3376287461,0.005942930246
217.7873745,151.0354411,-20.34835474,1.523987984,0.3374141181,0.005940324861
218.5083099,151.1247705,-19.67393545,1.525567234,0.3372067512,0.00593771139
219.2291938,151.2110886,-18.99912409,1.527144536,0.3370066216,0.005935089145
219.9500281,151.2943932,-18.32393416,1.528719962,0.3368137084,0.005932457439
220.6708146,151.3746833,-17.64837907,1.530293581,0.3366279897,0.005929815592
221.3915552,151.4519566,-16.97247231,1.531865462,0.3364494461,0.005927162923
222.1122516,151.5262122,-16.29622733,1.533435676,0.3362780573,0.005924498761
222.8329058,151.5974481,-15.61965762,1.53500429,0.3361138057,0.005921822432
223.5535195,151.6656634,-14.94277665,1.536571374,0.3359566723,0.00591913327
224.2740946,151.7308561,-14.26559793,1.538136997,0.3358066414,0.005916430605
224.9946328,151.7930256,-13.58813491,1.539701225,0.3356636954,0.005913713779
225.7151359,151.85217,-12.91040115,1.541264127,0.3355278202,0.005910982124
226.435606,151.9082887,-12.2324101,1.542825775,0.3353989998,0.005908234985
227.1560444,151.96138,-11.55417531,1.544386228,0.3352772217,0.005905471698
227.8764533,152.0114435,-10.87571027,1.545945561,0.3351624713,0.00590269161
228.5968341,152.0584775,-10.19702851,1.547503835,0.3350547377,0.005899894057
229.3171888,152.1024818,-9.518143552,1.549061121,0.3349540079,0.005897078387
230.0375191,152.1434548,-8.839068935,1.550617485,0.3348602726,0.005894243939
230.7578269,152.1813964,-8.159818168,1.552172993,0.3347735201,0.005891390059
231.4781138,152.2163051,-7.480404812,1.553727711,0.3346937427,0.005888516083
232.1983815,152.2481809,-6.800842382,1.555281706,0.3346209303,0.005885621358
232.9186319,152.2770225,-6.121144443,1.556835044,0.3345550766,0.005882705218
233.6388667,152.30283,-5.441324516,1.558387791,0.3344961731,0.005879767007
234.3590876,152.3256022,-4.76139617,1.559940013,0.3344442149,0.005876806054
235.0792963,152.3453394,-4.081372934,1.561491776,0.334399195,0.005873821701
235.7994947,152.3620404,-3.401268376,1.563043145,0.3343611101,0.005870813272
236.5196844,152.3757057,-2.721096035,1.564594186,0.3343299545,0.005867780103
