s,rho,x,phi,alpha,kn
0,50.00000002,-239.2856716,0,1.570767139,0.006275670897
16.73403738,50.25035653,-238.4959905,0.3334356111,1.470933154,0.0062401892
23.52032056,50.50531135,-237.7077819,0.4671358815,1.429220613,0.006201605674
28.7940347,50.7647547,-236.9210392,0.5699943534,1.396999577,0.00616016858
33.24052127,51.02857822,-236.1357545,0.6558277654,1.36967453,0.006116114881
37.15512974,51.29667516,-235.3519184,0.7306079142,1.34547355,0.006069670277
40.69409339,51.56894092,-234.5695205,0.7975036947,1.323492141,0.006021049205
43.94781114,51.84527273,-233.7885495,0.8583558859,1.303195592,0.005970455173
46.97638232,52.12556967,-233.0089926,0.9143921447,1.284237215,0.00591808101
49.82133171,52.4097327,-232.2308367,0.9664638407,1.26637737,0.005864109144
52.51273613,52.69766442,-231.4540673,1.015189976,1.249442416,0.005808711986
55.07368761,52.98926959,-230.6786694,1.061047332,1.233301851,0.005752052105
57.52175061,53.28445509,-229.9046275,1.104400204,1.21785471,0.005694282622
59.87121596,53.58312974,-229.1319251,1.145545898,1.20302101,0.005635547592
62.13349962,53.88520433,-228.3605455,1.184722998,1.188736127,0.005575982375
64.31806061,54.19059152,-227.5904712,1.222129955,1.174946964,0.00551571401
66.43284888,54.49920577,-226.8216846,1.257934207,1.16160926,0.00545486159
68.48450613,54.81096372,-226.0541673,1.292276327,1.148685639,0.005393536547
70.47882874,55.12578398,-225.2879011,1.325279382,1.136144186,0.005331843055
72.42066416,55.44358706,-224.5228671,1.357046949,1.123957385,0.005269878393
74.31442895,55.76429532,-223.7590464,1.387673536,1.112101298,0.005207733279
76.16381072,56.08783284,-222.9964197,1.41723868,1.100554936,0.005145492228
77.97216134,56.41412557,-222.2349679,1.445814853,1.089299757,0.005083233839
79.74243251,56.74310139,-221.4746713,1.473466214,1.078319267,0.005021031102
81.47725378,57.07468996,-220.7155106,1.500250198,1.067598706,0.004958951716
83.17898911,57.40882266,-219.9574661,1.526218679,1.057124794,0.004897058381
84.84977621,57.74543256,-219.2005184,1.551418775,1.046885522,0.004835409079
86.49151328,58.08445423,-218.4446478,1.575892608,1.03686998,0.004774057342
88.10597738,58.42582403,-217.6898347,1.599679683,1.027068201,0.004713052486
89.69471829,58.76947998,-216.9360597,1.622814787,1.017471051,0.004652439863
91.25923432,59.11536162,-216.1833034,1.645331513,1.008070123,0.004592261099
92.80080097,59.46341006,-215.4315465,1.667258849,0.9988576528,0.004532554316
94.32068876,59.81356777,-214.6807697,1.688625543,0.9898264493,0.004473354338
95.82000861,60.16577868,-213.9309539,1.709457019,0.980969828,0.004414692894
97.29980444,60.51998822,-213.1820802,1.729777242,0.9722815541,0.004356598797
98.76103635,60.87614324,-212.4341297,1.749608383,0.963755799,0.004299098137
100.2045991,61.23419191,-211.6870839,1.768971201,0.9553871002,0.004242214443
101.6313332,61.59408371,-210.9409242,1.787885269,0.9471703256,0.00418596885
103.0420113,61.95576928,-210.1956324,1.806368702,0.9391006452,0.004130380253
104.4373308,62.31920057,-209.4511903,1.824438025,0.9311734995,0.004075465442
105.818004,62.68433081,-208.70758,1.842109975,0.9233845765,0.004021239251
107.1846452,63.05111437,-207.9647838,1.859399242,0.9157297913,0.00396771468
108.5378497,63.41950678,-207.2227842,1.876320065,0.9082052678,0.003914903021
109.8781658,63.78946464,-206.4815638,1.892885665,0.9008073225,0.003862813972
111.2061441,64.16094554,-205.7411056,1.909109239,0.8935324499,0.003811455741
112.5222493,64.53390823,-205.0013927,1.925002202,0.886377306,0.003760835158
113.8269574,64.90831248,-204.2624083,1.940576127,0.8793386984,0.003710957766
115.1207075,65.28411906,-203.5241361,1.955841788,0.8724135752,0.003661827917
116.4039116,65.66128965,-202.7865598,1.970809361,0.8655990157,0.003613448852
117.676966,66.03978685,-202.0496633,1.985488649,0.8588922226,0.003565822782
118.9402376,66.41957411,-201.3134309,1.999888814,0.8522905123,0.003518950969
120.1940858,66.80061588,-200.577847,2.014018815,0.8457913069,0.003472833796
121.4388308,67.18287739,-199.8428963,2.027886779,0.8393921291,0.003427470836
122.6748049,67.56632475,-199.1085635,2.041501023,0.8330905957,0.003382860914
123.9022949,67.9509248,-198.3748337,2.054868913,0.8268844122,0.003339002165
125.1216069,68.33664513,-197.6416923,2.067998151,0.8207713689,0.003295892087
126.3329989,68.72345412,-196.9091247,2.08089544,0.8147493338,0.003253527602
127.5367315,69.11132089,-196.1771165,2.093567489,0.8088162492,0.003211905101
128.7330641,69.50021529,-195.4456538,2.106020944,0.8029701281,0.003171020493
129.922222,69.89010782,-194.7147227,2.11826173,0.7972090504,0.003130869246
131.1044381,70.28096963,-193.9843093,2.130295891,0.7915311601,0.003091446423
132.2799243,70.67277246,-193.2544004,2.142129009,0.7859346618,0.003052746724
133.4488903,71.06548877,-192.5249825,2.153766592,0.7804178168,0.003014764529
134.6115331,71.45909159,-191.7960426,2.165213858,0.774978941,0.002977493922
135.7680424,71.85355453,-191.0675677,2.176475847,0.7696164027,0.002940928729
136.9185998,72.24885179,-190.3395453,2.187557405,0.7643286198,0.00290506254
138.0633785,72.64495803,-189.6119627,2.19846318,0.7591140589,0.002869888739
139.2025465,73.04184851,-188.8848076,2.209197688,0.7539712311,0.002835400529
140.3362636,73.43949899,-188.1580678,2.219765249,0.7488986911,0.002801590965
141.4646831,73.83788575,-187.4317314,2.230170031,0.7438950355,0.002768452963
142.5879536,74.23698553,-186.7057865,2.240416074,0.7389589005,0.002735979331
143.7062167,74.63677555,-185.9802215,2.250507259,0.7340889613,0.00270416278
144.8196092,75.03723342,-185.2550249,2.260447339,0.7292839302,0.002672995943
145.9282622,75.43833724,-184.5301854,2.270239937,0.7245425543,0.002642471399
147.032303,75.84006554,-183.8056918,2.279888565,0.7198636148,0.002612581684
148.1318527,76.24239727,-183.0815331,2.289396601,0.7152459257,0.002583319306
149.2270288,76.64531174,-182.3576985,2.298767319,0.7106883327,0.002554676758
150.317945,77.04878865,-181.6341772,2.308003899,0.706189712,0.002526646527
151.4047099,77.45280805,-180.9109588,2.317109395,0.7017489693,0.002499221109
152.4874289,77.85735039,-180.1880327,2.326086783,0.697365038,0.002472393023
153.5662037,78.26239645,-179.4653887,2.334938938,0.6930368791,0.002446154816
154.6411323,78.66792738,-178.7430167,2.343668648,0.6887634797,0.002420499075
155.7123093,79.0739246,-178.0209067,2.352278607,0.6845438526,0.002395418435
156.7798264,79.48036985,-177.2990487,2.360771439,0.6803770353,0.002370905577
157.8437721,79.88724518,-176.5774331,2.369149684,0.6762620889,0.002346953249
158.9042314,80.29453295,-175.8560502,2.377415797,0.6721980975,0.002323554271
159.9612877,80.70221581,-175.1348905,2.385572178,0.6681841672,0.002300701534
161.0150206,81.11027667,-174.4139446,2.393621143,0.6642194258,0.002278388011
162.0655075,81.5186987,-173.6932032,2.401564942,0.6603030222,0.002256606756
163.1128236,81.92746529,-172.9726572,2.409405766,0.6564341255,0.002235350908
164.1570414,82.33656014,-172.2522976,2.417145742,0.6526119242,0.002214613707
165.1982312,82.74596714,-171.5321153,2.424786933,0.6488356256,0.002194388488
166.2364611,83.15567047,-170.8121015,2.432331344,0.6451044555,0.002174668689
167.2717973,83.56565447,-170.0922475,2.439780935,0.6414176578,0.002155447849
168.3043038,83.9759037,-169.3725446,2.447137598,0.6377744936,0.002136719607
169.3340425,84.38640293,-168.6529843,2.45440318,0.634174241,0.002118477714
170.361074,84.79713715,-167.9335581,2.461579482,0.6306161941,0.002100716036
171.3854566,85.20809153,-167.2142577,2.468668249,0.627099663,0.002083428549
172.4072471,85.61925142,-166.4950747,2.475671184,0.6236239732,0.002066609347
173.4265005,86.03060236,-165.7760009,2.482589944,0.6201884651,0.002050252637
174.4432705,86.44213,-165.0570283,2.489426145,0.6167924941,0.002034352732
175.4576089,86.85382022,-164.3381487,2.496181355,0.6134354293,0.002018904072
176.4695664,87.26565902,-163.6193543,2.50285711,0.6101166537,0.002003901219
177.479192,87.67763259,-162.900637,2.509454903,0.6068355635,0.001989338857
178.4865333,88.08972723,-162.1819892,2.515976183,0.6035915682,0.001975211792
179.4916368,88.50192937,-161.4634031,2.522422375,0.6003840899,0.001961514936
180.4945478,88.91422559,-160.7448709,2.528794859,0.5972125632,0.001948243317
181.49531,89.32660257,-160.0263851,2.535094984,0.5940764344,0.001935392098
182.4939661,89.73904716,-159.3079381,2.541324065,0.5909751616,0.001922956568
183.4905578,90.15154629,-158.5895224,2.547483388,0.5879082144,0.001910932142
184.4851255,90.564087,-157.8711305,2.553574204,0.5848750733,0.00189931438
185.4777084,90.97665644,-157.1527552,2.559597733,0.58187523,0.001888098902
186.4683453,91.38924183,-156.434389,2.565555175,0.5789081864,0.001877281566
187.4570733,91.80183054,-155.7160248,2.571447689,0.5759734549,0.00186685788
188.4439288,92.21440998,-154.9976552,2.577276415,0.5730705577,0.001856824173
189.4289473,92.62696769,-154.2792731,2.583042465,0.5701990267,0.00184717655
190.4121635,93.03949123,-153.5608714,2.588746924,0.5673584038,0.001837911245
191.3936109,93.45196826,-152.842443,2.594390852,0.5645482398,0.001829024653
