s,rho,x,phi,alpha,kn
0,54,-85.73074128,0,1.570794166,0.04593768286
7.520647928,54.44730518,-85.549484,0.1384109176,1.4425259,0.04447507553
10.65447418,54.89395283,-85.36661246,0.1950489785,1.390078418,0.04307709667
13.07577938,55.3399358,-85.18212585,0.2380977424,1.350291614,0.0417404456
15.13031834,55.78524691,-84.99602335,0.2740400253,1.31712609,0.04046201574
16.95195576,56.22987893,-84.80830418,0.3054025448,1.288231675,0.03923888176
18.60922598,56.6738246,-84.61896754,0.3334872987,1.262397562,0.03806828759
20.14274849,57.11707661,-84.42801264,0.3590709688,1.238901186,0.03694763542
21.57891839,57.55962762,-84.23543869,0.3826615451,1.217269591,0.03587447534
22.93604437,58.00147024,-84.04124493,0.4046136799,1.19717274,0.03484649593
24.22740753,58.44259703,-83.84543056,0.4251863451,1.178369222,0.03386151536
25.46303261,58.88300054,-83.64799483,0.4445762809,1.160675945,0.03291747318
26.65066151,59.32267324,-83.44893697,0.4629364629,1.143950005,0.03201242272
27.79645511,59.76160758,-83.24825623,0.4803894073,1.128077233,0.03114452398
28.90539218,60.19979596,-83.04595187,0.497034784,1.112964636,0.03031203702
29.98156461,60.63723074,-82.84202314,0.5129550514,1.098535225,0.02951331584
31.02838405,61.07390423,-82.63646932,0.528219412,1.084724367,0.02874680262
32.04873326,61.5098087,-82.42928968,0.5428867163,1.071477149,0.02801102239
33.04505752,61.94493637,-82.22048351,0.5570072361,1.058746418,0.02730457807
34.0194838,62.37927943,-82.01005011,0.5706249348,1.046491317,0.02662614582
34.97382749,62.81283,-81.79798878,0.5837776459,1.034676147,0.02597447069
35.90970113,63.24558017,-81.58429884,0.5964991299,1.02326949,0.02534836258
36.82851565,63.67752199,-81.36897962,0.6088191337,1.012243514,0.02474669244
37.73150902,64.10864744,-81.15203045,0.6207639518,1.001573417,0.02416838877
38.61979746,64.53894849,-80.9334507,0.6323574014,0.9912369786,0.02361243427
39.49438128,64.96841702,-80.71323972,0.6436209523,0.9812141931,0.02307786274
40.35614557,65.3970449,-80.49139689,0.6545737594,0.9714869688,0.02256375621
41.2058954,65.82482391,-80.26792159,0.6652333317,0.9620388774,0.02206924221
42.04436621,66.25174583,-80.04281324,0.6756157387,0.9528549447,0.02159349122
42.87221483,66.67780236,-79.81607126,0.6857354576,0.9439214745,0.02113571426
43.69005247,67.10298515,-79.58769506,0.6956059948,0.9352258987,0.02069516069
44.49842545,67.52728582,-79.35768412,0.7052395408,0.92675665,0.02027111609
45.29785067,67.95069592,-79.12603789,0.7146476342,0.9185030521,0.01986290027
46.08878334,68.37320696,-78.89275585,0.7238405729,0.9104552262,0.01946986544
46.87166789,68.7948104,-78.6578375,0.7328283647,0.9026040082,0.01909139444
47.64689156,69.21549763,-78.42128236,0.7416198737,0.8949408781,0.01872689914
48.41482741,69.63526003,-78.18308998,0.7502236221,0.8874578979,0.01837581886
49.17581753,70.05408889,-77.94325989,0.7586474861,0.8801476565,0.01803761896
49.93018287,70.47197546,-77.70179169,0.7668988812,0.873003222,0.01771178943
50.67821916,70.88891094,-77.45868495,0.7749846923,0.8660180989,0.01739784364
51.42020058,71.30488648,-77.21393931,0.782911345,0.8591861905,0.01709531711
52.15639054,71.71989317,-76.9675544,0.7906850089,0.852501765,0.0168037664
52.88703168,72.13392205,-76.71952988,0.7983114162,0.8459594256,0.01652276799
53.61235062,72.5469641,-76.46986544,0.8057959524,0.8395540841,0.01625191729
54.33256247,72.95901025,-76.21856077,0.8131437428,0.8332809357,0.0159908277
55.04786879,73.3700514,-75.96561563,0.8203596175,0.8271354385,0.01573912966
55.75845886,73.78007834,-75.71102975,0.8274481369,0.8211132927,0.01549646986
56.46451299,74.18908186,-75.45480293,0.8344136562,0.8152104237,0.01526251037
57.16619917,74.59705267,-75.19693497,0.8412602645,0.8094229656,0.01503692793
57.86367845,75.00398143,-74.93742572,0.8479918868,0.8037472469,0.01481941321
58.55710172,75.40985872,-74.67627503,0.8546122263,0.7981797766,0.01460967011
59.24661253,75.81467511,-74.41348281,0.861124818,0.7927172326,0.01440741518
59.93234751,76.21842108,-74.14904898,0.8675330384,0.7873564502,0.01421237692
60.61443507,76.62108706,-73.88297349,0.8738400825,0.7820944123,0.01402429529
