s,rho,x,phi,alpha,kn
0,54,-107.1634266,0,1.570796327,0.03675014631
7.934832911,54.46165165,-106.9295492,0.1460043901,1.440499437,0.03558298884
11.24562712,54.92229039,-106.6936831,0.2057955697,1.387276012,0.03447009129
13.8037175,55.38190765,-106.4558326,0.2512189671,1.346935673,0.03340851029
15.97483718,55.84049487,-106.2160022,0.289134705,1.313337488,0.03239548547
17.90042683,56.29804354,-105.9741964,0.3222142126,1.284090875,0.03142842668
19.65283167,56.75454514,-105.7304195,0.3518331125,1.257963745,0.03050490216
21.2749051,57.20999118,-105.4846762,0.3788117378,1.234220559,0.02962262766
22.79450184,57.66437319,-105.236971,0.4036869028,1.212379692,0.02877945637
24.23092209,58.11768271,-104.9873086,0.4268330814,1.192104929,0.02797336943
25.59817157,58.56991133,-104.7356935,0.4485238828,1.173150251,0.02720246742
26.90680878,59.02105063,-104.4821304,0.4689669692,1.155329002,0.02646496241
28.16499769,59.47109221,-104.2266242,0.488324029,1.138495446,0.0257591706
29.37923407,59.92002771,-103.9691795,0.5067245649,1.122533112,0.02508350541
30.55475854,60.36784877,-103.7098011,0.5242737895,1.107347095,0.02443647113
31.69587864,60.81454708,-103.4484938,0.5410587725,1.092858803,0.02381665711
32.8061879,61.26011431,-103.1852625,0.5571526399,1.079002232,0.02322273228
33.88872572,61.70454219,-102.9201121,0.5726176451,1.065721288,0.02265344014
34.94605582,62.14782244,-102.6530475,0.5875067078,1.052967793,0.02210759393
35.98041753,62.58994683,-102.3840737,0.6018662885,1.040699984,0.02158407234
36.99373404,63.03090713,-102.1131957,0.6157365971,1.028881364,0.02108181541
37.98769331,63.47069514,-101.8404186,0.6291531418,1.017479806,0.02059982082
38.96377443,63.90930267,-101.5657473,0.6421472542,1.00646684,0.02013714025
39.92329476,64.34672157,-101.2891871,0.654746998,0.9958170898,0.01969287615
40.8674212,64.78294372,-101.010743,0.6669774064,0.985507817,0.01926617863
41.79719422,65.21796099,-100.7304202,0.6788609506,0.9755185442,0.01885624272
42.71355695,65.65176529,-100.448224,0.6904181012,0.9658307499,0.01846230556
43.61735533,66.08434855,-100.1641596,0.7016673479,0.9564276122,0.01808364399
44.50935303,66.51570273,-99.87823232,0.7126254931,0.9472937954,0.01771957217
45.3902544,66.94581982,-99.59044737,0.7233080908,0.9384152702,0.01736943948
46.26068144,67.37469179,-99.30081019,0.7337290323,0.9297791613,0.01703262842
47.12123197,67.80231069,-99.00932616,0.7439016353,0.9213736166,0.01670855273
47.9724234,68.22866855,-98.71600067,0.7538376111,0.9131876957,0.01639665561
48.81476004,68.65375745,-98.42083919,0.763548321,0.9052112736,0.01609640802
49.64868071,69.07756949,-98.12384722,0.7730438145,0.8974349575,0.01580730718
50.47461731,69.50009677,-97.82503028,0.7823339198,0.8898500134,0.01552887508
51.29294241,69.92133144,-97.52439393,0.7914272803,0.8824483032,0.01526065703
52.10403102,70.34126566,-97.22194374,0.8003325042,0.875222228,0.01500222049
52.90820662,70.75989164,-96.91768535,0.8090571707,0.8681646799,0.01475315378
53.70578093,71.17720158,-96.61162443,0.8176085714,0.861268998,0.01451306499
54.49705113,71.59318771,-96.30376667,0.8259936624,0.8545289298,0.01428158087
55.28228108,72.0078423,-95.99411778,0.8342187214,0.8479385965,0.01405834585
56.06173203,72.42115765,-95.68268352,0.8422899194,0.8414924627,0.01384302109
56.83564051,72.83312606,-95.36946969,0.8502129159,0.8351853091,0.0136352836
57.60423212,73.24373986,-95.05448212,0.8579931163,0.8290122071,0.01343482541
58.36771687,73.65299143,-94.73772667,0.8656355884,0.8229684972,0.01324135276
59.126294,74.06087315,-94.41920921,0.8731451552,0.8170497682,0.01305458538
59.88015043,74.46737745,-94.09893568,0.880526368,0.8112518397,0.01287425578
60.62946472,74.87249674,-93.77691204,0.8877835831,0.8055707455,0.01270010863
61.37440292,75.2762235,-93.45314428,0.894920885,0.8000027184,0.01253190007
62.11512429,75.67855023,-93.12763841,0.9019421968,0.7945441764,0.01236939719
62.85177912,76.07946945,-92.80040048,0.9088512398,0.7891917104,0.01221237743
63.58450886,76.47897368,-92.47143659,0.9156515386,0.7839420733,0.01206062812
64.31344996,76.8770555,-92.14075286,0.922346494,0.7787921689,0.01191394593
65.03872997,77.27370751,-91.80835544,0.9289393113,0.7737390424,0.01177213643
65.76047121,77.66892233,-91.4742505,0.9354330704,0.7687798718,0.01163501364
66.47879055,78.06269263,-91.13844425,0.9418307232,0.7639119598,0.01150239965
67.19379779,78.45501105,-90.80094296,0.9481350649,0.7591327264,0.0113741242
67.90559957,78.84587031,-90.46175289,0.9543488066,0.7544397016,0.01125002428
68.61429621,79.23526314,-90.12088035,0.9604745191,0.7498305193,0.01112994385
69.31998376,79.62318231,-89.77833168,0.9665146709,0.7453029113,0.01101373344
70.02275497,80.00962059,-89.43411325,0.9724716484,0.7408547023,0.0109012499
70.72269696,80.3945708,-89.08823147,0.9783477127,0.7364838038,0.01079235603
71.41989458,80.77802577,-88.74069277,0.9841450626,0.7321882103,0.01068692037
72.11442835,81.15997838,-88.3915036,0.9898657975,0.7279659943,0.01058481688
